"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.39248783717751e-52,1.59844871940898,0.957,0.442,1.50664897396164e-47,"0","ATP6V1G3"
4.90920937417212e-38,0.561485432035597,0.988,0.944,7.8748627571095e-34,"0","NDUFA4"
8.74155020535825e-38,0.641979586023909,1,0.957,1.40223206844152e-33,"0","CD9"
8.76032707863219e-38,1.0112734294473,0.963,0.685,1.40524406668339e-33,"0","PVALB"
3.4745041862295e-37,1.55205643521991,0.835,0.318,5.57345216513074e-33,"0","MUCL1"
1.49682544489485e-36,0.87625410824982,0.976,0.806,2.40105769615584e-32,"0","FXYD2"
4.46877912777501e-35,0.667708786319789,0.976,0.871,7.1683685988639e-31,"0","COX7B"
1.04894167692643e-34,1.0529027132162,0.963,0.64,1.68260734395769e-30,"0","OXCT1"
2.16234707339052e-33,1.38053442983377,0.872,0.352,3.46862094042573e-29,"0","STAP1"
8.45492636729585e-33,0.561829798871552,1,0.895,1.35625473857793e-28,"0","ATP5D"
9.18877725777954e-33,0.877964175058399,0.97,0.699,1.47397175992042e-28,"0","C12orf75"
1.08408549154522e-32,0.596248911259173,0.963,0.876,1.73898153698769e-28,"0","COX6C"
2.7816719995027e-31,0.820329587654787,0.951,0.721,4.46208005440228e-27,"0","CYSTM1"
4.99136274043576e-31,0.604907158587289,0.976,0.859,8.00664497193301e-27,"0","COX5A"
3.7153195964925e-30,0.922973269028274,0.945,0.668,5.95974416473361e-26,"0","RARRES3"
4.08843301634644e-30,1.23005019776109,0.872,0.439,6.55825540152133e-26,"0","STXBP6"
8.04546875718182e-30,0.561092710175644,0.976,0.867,1.29057364333954e-25,"0","ATP5J"
1.11414514534508e-28,0.665999045597405,0.957,0.783,1.78720022764804e-24,"0","NDUFB4"
1.77639213898056e-28,0.946956527320488,0.957,0.691,2.84951063013871e-24,"0","WFDC2"
2.57141364440671e-28,0.678559169593664,1,0.89,4.1248046269928e-24,"0","DEFB1"
3.73293764588854e-28,1.29160323102286,0.841,0.346,5.98800527776981e-24,"0","MUC20"
4.61387687229088e-28,0.796964863569057,0.945,0.705,7.40111989084179e-24,"0","MRPL41"
6.11674785469062e-28,1.56320165618707,0.677,0.222,9.81187523370922e-24,"0","SPX"
7.27639344579363e-28,0.734514538236616,0.939,0.718,1.16720627263976e-23,"0","NDUFA5"
2.20527988399828e-26,0.737048774417494,0.945,0.753,3.53748946192165e-22,"0","NDUFB1"
8.95251803793482e-26,0.805302306930844,0.927,0.679,1.43607341846512e-21,"0","NDUFC2"
9.95285475284174e-26,0.564335431930486,0.957,0.843,1.59653743090334e-21,"0","C14orf2"
9.47868195089931e-25,0.765757590939764,0.994,0.699,1.52047537174376e-20,"0","ACAT1"
1.31773551450152e-24,0.875729754506666,0.909,0.581,2.11377953881189e-20,"0","MRPL34"
1.41583363703523e-24,1.44885746791762,0.64,0.214,2.27113873716821e-20,"0","TRGC1"
1.92428626480161e-24,0.733024196697854,0.939,0.705,3.08674759736827e-20,"0","NDUFA12"
2.41121255711038e-24,1.4425578561031,0.677,0.225,3.86782606286075e-20,"0","TSPAN7"
